danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,hit
0.565,0.855,5,0.0557,0.0445,0.0,0.32,0.852,74.98,208893,-4.189,1
0.698,0.783,2,0.266,0.016,0.0,0.176,0.378,160.034,264853,-6.503,1
0.374,0.742,6,0.0432,0.00517,0.0,0.11,0.21,139.953,247320,-3.36,1
0.78,0.808,2,0.484,0.112,0.0,0.329,0.642,79.982,216029,-5.175,1
0.69,0.462,8,0.13,0.343,0.00218,0.113,0.325,157.655,245640,-8.054,1
0.809,0.737,1,0.108,0.0441,0.0,0.341,0.367,80.025,226938,-5.186,1
0.272,0.238,2,0.0349,0.89,0.00925,0.275,0.119,83.507,161840,-12.148,0
0.554,0.596,7,0.13,0.162,0.00482,0.0805,0.255,165.728,297404,-8.214,1
0.936,0.585,0,0.125,0.0142,0.0,0.132,0.242,124.991,255379,-6.914,1
0.907,0.64,6,0.354,0.261,0.0,0.0785,0.803,120.995,222477,-6.542,1
0.76,0.579,0,0.0569,0.0129,0.00351,0.106,0.125,100.01,213600,-7.374,1
0.637,0.713,0,0.0747,0.181,0.000637,0.137,0.243,129.923,226973,-4.333,1
0.791,0.862,9,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,-3.24,0
0.632,0.804,7,0.0503,0.101,0.0,0.17,0.35,92.456,199625,-6.109,1
0.653,0.859,0,0.0449,0.212,0.0,0.111,0.706,174.038,218387,-3.048,1
0.799,0.52,1,0.17,0.153,0.000626,0.268,0.334,161.968,192222,-5.044,1
0.746,0.825,1,0.169,0.0142,0.0107,0.121,0.584,152.914,204150,-4.666,1
0.767,0.538,0,0.052,0.68,0.0,0.192,0.343,81.031,121680,-6.044,0
0.755,0.575,4,0.0678,0.0456,0.00124,0.276,0.49,85.987,205147,-8.393,0
0.854,0.463,5,0.137,0.117,0.0,0.354,0.549,120.024,225773,-6.159,1
0.622,0.712,5,0.066,0.0573,0.0,0.13,0.487,140.025,211360,-7.321,1
0.66,0.686,4,0.0537,0.163,7.32e-06,0.815,0.51,119.955,174000,-4.147,1
0.707,0.554,10,0.0585,0.346,5.31e-06,0.982,0.553,80.008,177913,-9.659,0
0.57,0.684,6,0.0465,0.136,0.0,0.205,0.531,89.012,213183,-7.054,1
0.617,0.609,1,0.0323,0.144,1.02e-06,0.978,0.157,111.026,188787,-4.243,1
0.353,0.755,1,0.733,0.0822,0.0,0.39,0.437,191.153,193680,-6.276,0
0.652,0.31,4,0.0509,0.43,1.16e-05,0.182,0.304,119.913,73813,-10.212,1
0.69,0.729,6,0.372,0.276,5.08e-05,0.106,0.478,128.96,191600,-5.08,0
0.82,0.568,6,0.411,0.0256,0.0,0.0952,0.535,152.279,210787,-8.23,0
0.588,0.567,4,0.0628,0.221,0.0,0.135,0.113,150.009,338438,-3.738,0
0.607,0.609,0,0.291,0.389,1.6e-05,0.111,0.556,74.946,185610,-5.978,0
0.731,0.811,1,0.0712,0.0204,0.0,0.411,0.426,147.045,218284,-3.225,1
0.428,0.403,5,0.209,0.229,0.0,0.22,0.133,95.387,180183,-5.914,0
0.705,0.816,10,0.32,0.0805,0.0,0.476,0.929,94.211,138872,-7.046,0
0.712,0.481,4,0.0487,0.173,0.0,0.241,0.062,140.0,196138,-5.415,0
0.643,0.638,1,0.0407,0.204,0.0,0.0707,0.6,82.001,226107,-4.947,0
0.6,0.688,5,0.201,0.159,1.29e-05,0.409,0.0793,99.977,156600,-8.339,0
0.804,0.763,2,0.0519,0.0678,0.0,0.368,0.0585,136.052,156886,-5.48,1
0.834,0.731,10,0.0566,0.0462,0.0,0.0731,0.681,140.001,176720,-5.603,0
0.46,0.686,0,0.0367,0.00146,0.0,0.375,0.252,148.054,145588,-5.948,0
0.7,0.46,4,0.0661,0.142,4.81e-05,0.111,0.286,151.901,142969,-8.111,0
